date,precip_mm,temp_c,pet_mm,discharge_mm
2000-01-01,0.75,3.06,0.0,1.717
2000-01-02,0.03,1.78,0.0,1.42
2000-01-03,26.44,3.33,0.0,4.11
2000-01-04,0.0,5.07,0.0,3.523
2000-01-05,2.86,1.55,0.0,3.336
2000-01-06,1.39,1.54,0.0,3.338
2000-01-07,1.6,5.16,0.0,3.559
2000-01-08,0.72,3.54,0.0,1.699
2000-01-09,0.36,1.06,0.0,1.93
2000-01-10,3.29,3.09,0.0,1.76
2000-01-11,8.08,1.08,0.0,2.419
2000-01-12,3.57,1.08,0.0,2.452
2000-01-13,14.15,2.51,0.0,3.309
2000-01-14,1.66,-1.79,0.0,3.259
2000-01-15,8.15,-1.4,0.0,3.765
2000-01-16,0.02,0.94,0.0,3.257
2000-01-17,3.54,0.05,0.0,3.21
2000-01-18,0.4,2.73,0.0,2.313
2000-01-19,1.1,0.31,0.0,2.351
2000-01-20,0.12,-0.68,0.0,1.74
2000-01-21,8.26,5.11,0.0,2.391
2000-01-22,2.19,1.76,0.0,2.389
2000-01-23,8.66,2.37,0.0,2.827
2000-01-24,0.81,-0.58,0.0,2.629
2000-01-25,5.94,1.22,0.0,3.088
2000-01-26,5.66,2.57,0.0,2.766
2000-01-27,6.24,0.09,0.0,3.196
2000-01-28,0.8,3.19,0.0,2.712
2000-01-29,1.11,1.28,0.0,2.498
2000-01-30,1.08,1.95,0.0,2.277
2000-01-31,0.47,1.38,0.0,2.054
2000-02-01,2.52,6.34,0.0,1.829
2000-02-02,2.69,2.66,0.0,1.851
2000-02-03,1.03,0.63,0.0,2.006
2000-02-04,1.82,4.45,0.0,2.037
2000-02-05,0.01,0.42,0.0,1.965
2000-02-06,1.03,3.35,0.0,1.819
2000-02-07,2.3,-0.93,0.0,1.976
2000-02-08,2.56,0.4,0.0,2.129
2000-02-09,6.05,3.52,0.0,2.169
2000-02-10,2.98,4.68,0.0,2.334
2000-02-11,0.49,3.62,0.0,2.412
2000-02-12,0.05,3.12,0.0,2.192
2000-02-13,1.58,2.83,0.0,2.155
2000-02-14,0.63,0.55,0.0,1.918
2000-02-15,5.73,2.15,0.0,1.818
2000-02-16,0.73,2.75,0.0,2.155
2000-02-17,3.9,5.87,0.0,2.261
2000-02-18,0.3,4.53,0.0,2.136
2000-02-19,0.3,0.41,0.0,2.149
2000-02-20,3.77,4.67,0.0,2.036
2000-02-21,2.15,3.35,0.0,1.952
2000-02-22,17.07,2.86,0.0,3.065
2000-02-23,5.74,5.53,0.0,3.246
2000-02-24,0.03,6.47,0.0,3.27
2000-02-25,14.81,6.37,0.0,3.983
2000-02-26,6.08,2.93,0.0,4.022
2000-02-27,0.43,4.09,0.02,3.173
2000-02-28,2.51,5.47,0.05,2.905
2000-02-29,6.71,6.87,0.09,3.417
2000-03-01,0.88,4.07,0.13,2.284
2000-03-02,5.01,4.76,0.17,2.422
2000-03-03,6.1,3.03,0.22,2.712
2000-03-04,3.1,2.96,0.26,2.851
2000-03-05,2.6,7.09,0.3,2.608
2000-03-06,2.24,8.29,0.34,2.572
2000-03-07,4.08,5.55,0.39,2.516
2000-03-08,0.38,7.82,0.43,2.233
2000-03-09,0.01,6.65,0.47,1.969
2000-03-10,2.4,4.76,0.52,2.131
2000-03-11,0.43,6.89,0.56,1.901
2000-03-12,2.27,9.37,0.61,1.539
2000-03-13,3.37,6.34,0.66,1.971
2000-03-14,1.17,9.67,0.7,1.975
2000-03-15,3.32,1.42,0.75,1.97
2000-03-16,0.16,8.43,0.8,1.994
2000-03-17,3.76,7.09,0.84,2.218
2000-03-18,0.08,6.44,0.89,2.142
2000-03-19,0.3,7.35,0.94,1.989
2000-03-20,0.4,3.32,0.99,1.721
2000-03-21,0.06,6.99,1.04,1.822
2000-03-22,0.05,8.27,1.09,1.507
2000-03-23,0.41,10.65,1.13,1.504
2000-03-24,7.83,6.79,1.18,1.91
2000-03-25,1.71,6.34,1.23,1.928
2000-03-26,0.74,7.09,1.28,2.105
2000-03-27,1.87,10.06,1.33,2.269
2000-03-28,1.9,9.02,1.38,2.333
2000-03-29,0.25,7.43,1.44,1.847
2000-03-30,0.31,9.66,1.49,1.71
2000-03-31,0.09,8.96,1.54,1.826
2000-04-01,4.07,10.84,1.59,1.765
2000-04-02,2.78,7.63,1.64,2.028
2000-04-03,10.46,8.52,1.69,2.462
2000-04-04,28.22,8.53,1.74,4.162
2000-04-05,1.68,6.52,1.79,4.186
2000-04-06,1.56,10.18,1.85,4.132
2000-04-07,0.08,10.25,1.9,4.118
2000-04-08,0.14,9.87,1.95,3.452
2000-04-09,4.41,9.53,2.0,2.07
2000-04-10,0.02,7.31,2.05,1.925
2000-04-11,0.47,9.43,2.1,1.697
2000-04-12,0.07,9.73,2.15,1.774
2000-04-13,1.71,8.95,2.21,1.823
2000-04-14,0.91,10.37,2.26,1.824
2000-04-15,2.04,11.63,2.31,1.692
2000-04-16,9.27,14.73,2.36,2.429
2000-04-17,0.31,11.45,2.41,2.444
2000-04-18,0.12,11.75,2.46,2.442
2000-04-19,0.83,11.22,2.51,2.213
2000-04-20,6.47,7.67,2.56,2.591
2000-04-21,4.32,11.59,2.62,2.451
2000-04-22,0.06,11.9,2.67,2.146
2000-04-23,0.22,16.84,2.72,2.06
2000-04-24,0.69,11.66,2.77,2.018
2000-04-25,2.27,12.78,2.82,2.025
2000-04-26,0.14,12.24,2.87,1.514
2000-04-27,9.01,10.1,2.91,2.203
2000-04-28,1.95,14.86,2.96,2.387
2000-04-29,0.22,14.2,3.01,2.334
2000-04-30,0.01,14.41,3.06,2.222
2000-05-01,13.17,11.14,3.11,2.984
2000-05-02,0.56,15.89,3.16,2.582
2000-05-03,2.17,10.41,3.2,2.373
2000-05-04,1.99,14.51,3.25,2.506
2000-05-05,0.17,17.84,3.3,2.506
2000-05-06,3.83,11.6,3.34,2.106
2000-05-07,0.03,12.58,3.39,2.081
2000-05-08,0.03,14.03,3.44,1.908
2000-05-09,0.15,12.94,3.48,1.871
2000-05-10,2.57,10.97,3.53,1.779
2000-05-11,1.25,14.32,3.57,1.909
2000-05-12,4.33,12.18,3.61,2.152
2000-05-13,0.51,15.37,3.66,2.102
2000-05-14,1.32,12.69,3.7,2.277
2000-05-15,0.12,17.75,3.74,1.786
2000-05-16,0.96,13.19,3.78,1.882
2000-05-17,0.68,14.22,3.83,1.642
2000-05-18,4.49,16.6,3.87,2.026
2000-05-19,3.39,12.62,3.91,1.973
2000-05-20,0.82,15.64,3.95,2.196
2000-05-21,0.0,17.91,3.98,2.2
2000-05-22,3.21,12.18,4.02,2.284
2000-05-23,1.29,15.87,4.06,2.051
2000-05-24,0.0,16.12,4.1,1.72
2000-05-25,14.05,17.26,4.13,2.528
2000-05-26,11.01,13.32,4.17,3.399
2000-05-27,0.09,13.24,4.21,3.164
2000-05-28,0.92,17.02,4.24,3.06
2000-05-29,0.07,16.66,4.27,3.027
2000-05-30,0.14,16.66,4.31,2.031
2000-05-31,2.77,16.94,4.34,1.632
2000-06-01,0.65,14.97,4.37,1.964
2000-06-02,0.91,16.88,4.4,1.644
2000-06-03,5.95,17.08,4.43,2.144
2000-06-04,3.38,15.14,4.46,2.42
2000-06-05,2.2,20.38,4.49,2.16
2000-06-06,0.33,17.67,4.52,2.285
2000-06-07,0.01,14.42,4.55,2.306
2000-06-08,0.89,18.18,4.58,1.91
2000-06-09,1.93,14.99,4.6,2.108
2000-06-10,1.75,18.58,4.63,1.628
2000-06-11,0.03,19.39,4.65,1.882
2000-06-12,0.13,15.49,4.68,1.767
2000-06-13,1.06,19.12,4.7,1.871
2000-06-14,0.02,18.08,4.72,1.724
2000-06-15,2.36,18.96,4.74,1.643
2000-06-16,9.58,21.16,4.76,2.312
2000-06-17,0.54,16.93,4.78,2.128
2000-06-18,0.53,15.96,4.8,2.342
2000-06-19,1.86,15.74,4.82,2.422
2000-06-20,0.16,15.93,4.84,2.324
2000-06-21,1.83,17.45,4.85,1.901
2000-06-22,0.05,18.33,4.87,1.803
2000-06-23,0.39,18.24,4.88,1.772
2000-06-24,1.58,19.38,4.9,1.652
2000-06-25,0.21,17.79,4.91,1.672
2000-06-26,1.51,20.7,4.92,1.843
2000-06-27,1.68,17.29,4.93,1.966
2000-06-28,0.01,23.29,4.94,1.776
2000-06-29,3.21,19.13,4.95,1.902
2000-06-30,1.31,16.18,4.96,1.873
2000-07-01,3.4,15.78,4.97,2.194
2000-07-02,0.09,18.9,4.98,2.048
2000-07-03,6.83,17.51,4.98,2.585
2000-07-04,0.56,19.4,4.99,2.144
2000-07-05,0.74,18.93,4.99,2.159
2000-07-06,0.09,17.84,5.0,2.022
2000-07-07,5.03,16.3,5.0,2.36
2000-07-08,0.36,14.97,5.0,1.885
2000-07-09,4.3,17.11,5.0,2.044
2000-07-10,6.24,19.71,5.0,2.549
2000-07-11,2.55,18.42,5.0,2.681
2000-07-12,3.85,15.5,5.0,2.446
2000-07-13,2.8,18.33,4.99,2.82
2000-07-14,0.16,18.74,4.99,2.553
2000-07-15,13.89,16.19,4.99,2.908
2000-07-16,0.01,18.25,4.98,2.751
2000-07-17,0.1,18.05,4.97,2.573
2000-07-18,3.37,15.62,4.97,2.466
2000-07-19,0.93,18.6,4.96,2.601
2000-07-20,2.29,18.98,4.95,1.687
2000-07-21,1.3,20.0,4.94,2.067
2000-07-22,0.37,19.92,4.93,1.839
2000-07-23,1.91,15.02,4.92,2.058
2000-07-24,1.55,15.87,4.9,1.912
2000-07-25,0.13,18.74,4.89,1.794
2000-07-26,0.0,18.7,4.88,1.675
2000-07-27,2.23,18.66,4.86,1.82
2000-07-28,0.06,25.29,4.85,1.88
2000-07-29,3.08,18.68,4.83,1.581
2000-07-30,1.13,19.77,4.81,2.018
2000-07-31,1.43,19.35,4.79,2.01
2000-08-01,0.5,18.7,4.77,1.751
2000-08-02,2.59,16.71,4.75,1.916
2000-08-03,2.42,18.8,4.73,2.152
2000-08-04,0.44,15.68,4.71,1.848
2000-08-05,0.39,16.69,4.69,1.765
2000-08-06,0.75,16.13,4.66,2.009
2000-08-07,4.93,17.2,4.64,2.07
2000-08-08,0.59,21.6,4.62,1.832
2000-08-09,1.46,13.17,4.59,2.009
2000-08-10,3.04,18.21,4.56,2.044
2000-08-11,1.3,13.54,4.54,2.289
2000-08-12,1.61,15.74,4.51,2.086
2000-08-13,1.27,18.79,4.48,2.074
2000-08-14,1.18,16.66,4.45,2.04
2000-08-15,1.86,14.3,4.42,2.109
2000-08-16,0.32,14.94,4.39,1.874
2000-08-17,0.03,17.64,4.36,1.661
2000-08-18,2.96,14.74,4.32,1.926
2000-08-19,3.02,16.54,4.29,2.2
2000-08-20,0.45,16.11,4.26,1.805
2000-08-21,0.05,14.63,4.22,1.854
2000-08-22,1.39,20.12,4.19,2.014
2000-08-23,1.66,17.01,4.15,1.889
2000-08-24,1.62,11.59,4.12,1.712
2000-08-25,0.08,15.92,4.08,1.9
2000-08-26,3.97,14.12,4.04,2.255
2000-08-27,1.28,17.05,4.0,2.036
2000-08-28,0.18,13.66,3.97,1.837
2000-08-29,0.01,14.91,3.93,1.676
2000-08-30,0.35,16.04,3.89,1.873
